Taxpayer_ID,First_Name,Last_Name,Filing_Status,Adjusted_Gross_Income,Tax_Year,Address,Email,Update_Timestamp,Deleted
9001,Alice,Smith,Single,83000,2025,101 Elm St,alice.smith@email.com,2026-01-02,n
9002,Bob,Johnson,Married,95300,2025,202 Pine Ave,bob.j@email.com,2026-01-02,n
9003,Charlie,Lee,Single,68000,2025,404 Elm St,charlie.l@email.com,2026-01-02,n
9004,Dana,Kim,Married,126500,2025,404 Aspen Dr,dana.kim@email.com,2026-01-02,n
9005,Eva,Patel,Head of Household,59000,2025,606 Birch Ln,eva.patel@email.com,2026-01-02,n
9006,Frank,Nguyen,Single,71000,2025,707 Cedar Ct,frank.nguyen@email.com,2026-01-02,n
9007,Grace,O'Brien,Married,115500,2025,707 Walnut St,grace.obrien@email.com,2026-01-02,n
9008,Hector,Cruz,Head of Household,89000,2025,808 Chestnut Rd,hector.cruz@email.com,2026-01-02,n
9009,Isabel,Martinez,Single,72800,2025,909 Redwood Blvd,isabel.martinez@email.com,2026-01-02,n
9010,Jackie,Chen,Single,100500,2025,1010 Spruce Ave,jackie.chen@email.com,2026-01-02,n
